CUST_ID,SIU_CUST_YN,SEX,AGE,RESI_COST,RESI_TYPE_CODE,FP_CAREER,CUST_RGST,CTPR,OCCP_GRP_1,OCCP_GRP_2,TOTALPREM,MINCRDT,MAXCRDT,WEDD_YN,MATE_OCCP_GRP_1,CHLD_CNT,MAX_PAYM_YM,MAX_PRM,CUST_INCM
41,N,2,48,15311,40,N,200108,서울,1.주부,주부,15284369,6,6,Y,8.기타,2,2001-02-01,370911,0
42,N,2,55,10000,30,Y,200108,경기,1.주부,주부,14661864,6,6,Y,3.사무직,1,2000-07-01,190250,0
43,N,2,41,27777,20,N,200108,경남,5.서비스,3차산업 종사자,23479401,6,6,Y,6.제조업,1,2006-03-01,156900,3748
44,N,2,61,9861,20,N,200108,대전,1.주부,주부,22399454,6,6,Y,3.사무직,1,2008-08-01,285722,3413
45,N,2,58,10555,20,N,200108,경기,5.서비스,3차산업 종사자,59479946,6,6,Y,6.제조업,2,2002-03-01,1153370,3706
46,N,2,62,6666,20,N,200109,전북,5.서비스,3차산업 종사자,46508529,6,6,Y,5.서비스,0,2011-07-01,250850,3413
47,N,2,49,10441,99,Y,200109,경기,1.주부,주부,25637391,7,8,Y,8.기타,3,2003-02-01,559850,0
48,N,2,42,20416,20,Y,200109,경기,2.자영업,자영업,58480871,10,99,Y,3.사무직,4,2006-08-01,587716,3657
49,N,2,58,15015,11,N,200109,경기,1.주부,주부,168252203,6,6,Y,4.전문직,0,2003-12-01,1055621,0
50,N,2,63,9189,99,N,200109,인천,1.주부,주부,89310615,6,7,Y,7.1차산업,1,2003-04-01,1442900,3413
52,N,1,50,26944,20,N,200110,인천,5.서비스,2차산업 종사자,8355309,3,99,Y,1.주부,2,1998-07-01,42000,5755
53,N,1,72,12222,20,N,200110,서울,8.기타,기타,29793646,6,6,N,None,0,2003-05-01,752813,3413
54,Y,2,52,5833,20,Y,200111,전남,1.주부,주부,4670372,6,6,Y,None,1,2005-09-01,38900,0
55,N,2,55,4027,30,Y,200111,경남,2.자영업,3차산업 종사자,41070351,6,99,Y,None,1,2014-03-01,986841,3953
56,Y,2,57,7271,11,N,200111,광주,2.자영업,자영업,136720853,6,6,Y,2.자영업,0,2015-05-01,1242454,4911
57,N,2,49,0,99,Y,200112,경기,6.제조업,2차산업 종사자,88277470,6,6,Y,6.제조업,2,2011-08-01,1034374,3314
58,N,2,79,25833,20,N,200112,부산,1.주부,주부,5958728,6,6,N,None,0,2003-05-01,39667,3413
59,N,2,44,14542,99,N,200112,서울,5.서비스,3차산업 종사자,40099583,6,6,N,None,0,2003-01-01,472900,3949
61,N,1,38,8888,20,N,200112,경기,6.제조업,운전직,15475047,7,7,N,None,0,2012-07-01,175630,4208
62,N,1,47,19444,20,N,200201,경기,3.사무직,사무직,21350056,6,6,Y,2.자영업,2,2002-07-01,239345,5000
63,Y,2,51,12326,12,Y,200201,부산,8.기타,3차산업 종사자,33991326,6,6,Y,3.사무직,4,2002-08-01,293493,2984
64,N,2,60,50972,20,N,200203,서울,2.자영업,자영업,133381160,6,8,Y,2.자영업,1,2014-06-01,1564160,5616
66,Y,2,49,13333,20,N,200203,광주,5.서비스,3차산업 종사자,12386724,9,9,Y,3.사무직,3,2002-08-01,371950,3187
67,N,2,43,0,99,N,200203,경남,4.전문직,교육관련직,117113523,1,99,Y,2.자영업,2,2015-11-01,3490955,5512
68,N,2,47,30000,20,N,200205,경기,6.제조업,2차산업 종사자,102701437,4,99,Y,3.사무직,2,2003-06-01,1507852,4159
69,N,2,52,6291,12,N,200205,인천,2.자영업,자영업,116980784,8,8,Y,6.제조업,2,2011-07-01,3132250,6034
70,N,1,63,3638,11,N,200206,전북,2.자영업,자영업,80557731,6,7,Y,2.자영업,3,2003-05-01,631970,3413
71,N,2,55,0,99,N,200207,부산,5.서비스,2차산업 종사자,25394528,6,6,Y,5.서비스,1,2008-02-01,334716,3305
72,N,2,61,8055,20,N,200207,경남,1.주부,주부,29579013,6,6,Y,5.서비스,0,2008-07-01,222503,3413
74,N,2,45,9305,20,N,200208,경기,1.주부,주부,11726715,6,6,Y,3.사무직,1,2003-05-01,91580,0
75,N,2,51,7092,12,N,200208,부산,2.자영업,자영업,35031840,6,6,Y,6.제조업,0,2011-03-01,255155,4351
76,N,1,53,9861,30,N,200208,인천,5.서비스,3차산업 종사자,26886714,6,6,Y,1.주부,3,1999-09-01,511900,4096
77,N,2,58,2704,13,N,200208,부산,5.서비스,3차산업 종사자,25697202,6,6,N,None,0,2004-01-01,327397,3458
78,N,2,52,8611,20,N,200209,충북,4.전문직,사무직,20066022,6,6,Y,3.사무직,2,2009-06-01,388682,4749
79,Y,2,59,11409,99,N,200209,인천,1.주부,주부,19310189,6,6,Y,4.전문직,2,2010-11-01,166601,0
80,N,2,66,4722,30,N,200210,강원,8.기타,기타,25848033,6,6,Y,6.제조업,0,2006-03-01,217670,3413
81,N,2,53,10277,20,N,200210,서울,1.주부,주부,19065255,6,6,Y,2.자영업,1,2005-01-01,127770,0
82,N,2,51,2196,13,Y,200210,경남,1.주부,주부,22807201,6,6,Y,None,2,2002-08-01,617900,0
83,N,2,63,0,11,N,200210,전남,8.기타,단순 노무직,117742024,6,6,Y,8.기타,0,2011-03-01,1013719,3413
84,N,2,67,5689,99,Y,200210,광주,1.주부,주부,38544420,6,6,N,None,0,2010-02-01,473969,3413
85,N,2,57,28888,20,Y,200211,서울,1.주부,주부,23891047,7,8,Y,4.전문직,2,2000-06-01,437600,0
87,N,2,56,8601,11,N,200211,제주,5.서비스,3차산업 종사자,57382549,7,8,Y,7.1차산업,0,2012-10-01,979025,3565
88,N,2,73,5281,11,Y,198110,경북,8.기타,기타,11233163,6,6,N,None,0,2001-05-01,95249,3413
89,N,2,69,7338,12,Y,199703,경기,3.사무직,사무직,14150907,6,6,Y,5.서비스,0,2003-07-01,27640,3413
90,N,2,69,2167,12,Y,200111,광주,2.자영업,3차산업 종사자,265780511,4,99,N,None,0,2004-10-01,1218829,3413
91,N,2,69,21250,30,Y,199205,서울,1.주부,주부,27594184,6,6,Y,3.사무직,0,2000-09-01,44470,3413
92,Y,2,68,2842,12,Y,199903,충북,1.주부,주부,106661466,7,7,N,None,0,2000-10-01,2723795,3413
93,N,2,68,7777,20,Y,199909,전북,5.서비스,3차산업 종사자,38454466,6,6,Y,3.사무직,1,2000-08-01,1230326,3413
94,N,2,68,3949,12,Y,199904,서울,1.주부,주부,50756594,6,6,N,None,0,1998-06-01,387900,3413
95,N,2,66,6666,20,Y,198304,경북,8.기타,기타,26667196,4,6,Y,4.전문직,0,2013-09-01,505368,3413
96,N,2,65,8611,20,Y,199809,경기,2.자영업,3차산업 종사자,205180448,6,8,Y,5.서비스,1,2002-03-01,1752530,3413
98,N,2,64,0,99,Y,199206,인천,1.주부,주부,49923496,6,6,Y,8.기타,0,2015-08-01,400000,3413
99,N,2,63,1589,11,Y,198208,전남,1.주부,주부,199009356,6,6,N,None,0,2008-11-01,1368844,3413
100,N,2,62,4081,13,N,200209,경기,2.자영업,자영업,18707651,4,6,Y,2.자영업,0,2009-09-01,88830,3413
102,N,2,62,8750,20,Y,199604,서울,8.기타,기타,175567836,6,6,Y,5.서비스,0,2010-01-01,1458131,3413
103,N,2,62,32222,20,Y,198406,경북,5.서비스,2차산업 종사자,36743778,6,6,N,None,0,2000-01-01,343200,3413
104,N,2,62,7778,12,Y,198904,인천,6.제조업,2차산업 종사자,44543318,6,6,Y,6.제조업,1,2009-08-01,357780,3413
105,N,2,61,17222,20,Y,199306,인천,1.주부,주부,34918955,5,6,Y,6.제조업,1,2008-05-01,225144,3413
107,Y,2,61,23617,11,Y,198410,경기,1.주부,주부,1762800,6,6,N,None,0,2000-06-01,144300,3413
108,N,2,60,0,99,N,199910,충남,4.전문직,교사,226268870,6,6,N,None,0,2013-07-01,2238280,5660
109,N,2,60,88333,20,Y,198906,인천,1.주부,주부,14727510,8,8,Y,None,1,2016-06-01,59700,0
110,N,2,60,7683,11,Y,198606,경북,1.주부,주부,66700377,2,99,Y,6.제조업,1,2012-05-01,515322,0
111,N,2,59,6441,40,Y,199107,경북,2.자영업,자영업,268123695,2,99,Y,8.기타,2,2009-04-01,2027760,5177
112,N,2,59,11944,30,N,200202,경기,1.주부,주부,21037203,6,8,Y,3.사무직,1,2009-01-01,663302,0
113,N,2,59,2263,99,Y,200202,전남,1.주부,주부,71465789,10,99,Y,7.1차산업,2,2003-03-01,642180,0
114,N,2,58,10177,11,Y,198911,광주,4.전문직,3차산업 종사자,10225187,6,6,Y,8.기타,0,2009-10-01,43300,3706
115,N,2,58,4816,12,Y,198302,제주,1.주부,주부,35507360,6,6,Y,7.1차산업,2,2015-12-01,445205,0
117,N,2,57,16111,20,Y,199409,경기,4.전문직,사무직,105557022,6,6,Y,2.자영업,2,2003-07-01,566162,4370
118,N,2,57,8832,12,Y,200007,경기,5.서비스,3차산업 종사자,59729609,6,6,Y,None,2,2003-05-01,536800,3382
119,N,2,57,6944,30,Y,200010,경기,4.전문직,전문직,13173202,7,7,N,None,0,2001-10-01,445650,3598
120,N,2,57,6805,20,Y,199108,전남,1.주부,주부,84866703,6,6,Y,3.사무직,2,2003-03-01,582000,0
121,N,2,56,10277,30,Y,199011,서울,2.자영업,자영업,78923648,6,6,Y,2.자영업,1,2013-01-01,988817,5009
122,N,2,56,8968,40,Y,199602,경기,5.서비스,3차산업 종사자,50143022,6,6,Y,5.서비스,2,2004-05-01,158500,3470
124,N,2,56,23888,20,Y,200007,부산,1.주부,주부,25681232,6,6,Y,6.제조업,2,2008-07-01,370228,0
126,Y,2,55,15416,20,Y,199106,경남,5.서비스,3차산업 종사자,11433036,7,7,Y,None,2,2011-12-01,248708,3487
127,N,2,55,4544,13,Y,198708,대구,1.주부,주부,130538208,6,6,Y,5.서비스,2,2013-03-01,1447443,0
128,N,2,55,4027,30,Y,200206,경기,2.자영업,자영업,50502716,10,9,Y,None,2,2009-08-01,1396143,5924
129,N,2,55,28586,12,Y,200204,경기,8.기타,3차산업 종사자,33299259,6,6,Y,3.사무직,2,2003-04-01,599400,4117
131,N,2,54,5972,30,Y,199306,제주,7.1차산업,1차산업 종사자,300330990,6,6,Y,7.1차산업,3,2009-10-01,4852651,5667
132,N,2,54,28888,20,Y,199202,경기,5.서비스,3차산업 종사자,235492914,1,99,Y,6.제조업,1,2007-05-01,1894930,3901
133,N,2,53,7500,30,Y,200005,경기,1.주부,주부,61460135,2,6,Y,4.전문직,0,2002-07-01,880704,0
134,N,2,51,11615,40,Y,199205,대구,5.서비스,2차산업 종사자,102824796,5,99,Y,6.제조업,1,2004-06-01,940064,3242
135,N,2,51,8874,12,Y,199610,경기,4.전문직,의료직 종사자,102641830,1,99,Y,2.자영업,2,2003-01-01,998096,3225
136,N,2,51,11527,20,Y,199606,강원,4.전문직,의료직 종사자,21165546,6,6,Y,3.사무직,2,2007-09-01,148790,3608
138,N,2,50,28055,20,Y,200202,서울,2.자영업,3차산업 종사자,27045096,6,6,Y,3.사무직,2,2004-08-01,681958,4938
140,N,2,48,11111,30,Y,199207,경기,2.자영업,자영업,32069499,6,6,Y,6.제조업,2,2003-05-01,344600,4326
141,N,2,48,6527,30,Y,199608,부산,5.서비스,3차산업 종사자,86245013,6,7,Y,6.제조업,2,2013-06-01,977399,5341
142,Y,2,48,13333,20,Y,199411,경기,1.주부,주부,37909281,6,6,Y,5.서비스,2,2004-03-01,156639,0
143,N,2,48,10833,30,Y,199504,서울,2.자영업,3차산업 종사자,460688668,5,99,Y,5.서비스,2,2001-07-01,2206722,4952
144,N,2,48,29305,20,Y,199902,경기,3.사무직,사무직,21557368,6,6,Y,2.자영업,2,1999-10-01,194500,4389
145,Y,2,48,16856,40,Y,199509,서울,2.자영업,자영업,140698549,8,8,Y,3.사무직,3,2002-02-01,1230875,5302
146,N,2,46,11111,20,Y,200202,전북,1.주부,주부,35589899,6,6,Y,8.기타,2,2015-01-01,546899,0
147,N,2,46,10920,99,Y,200012,경기,2.자영업,3차산업 종사자,104219725,6,6,Y,None,1,2004-04-01,1099100,3713
148,N,2,45,2880,13,Y,199505,경기,5.서비스,3차산업 종사자,5734154,7,8,Y,4.전문직,2,2015-09-01,475324,2721
149,N,2,43,13141,20,Y,199603,울산,1.주부,주부,2567269,6,6,N,None,0,2012-12-01,207358,0
151,N,2,43,14305,30,Y,199909,서울,1.주부,주부,43077725,8,8,Y,4.전문직,1,2002-02-01,621372,0
152,N,2,41,53888,20,N,200003,경기,3.사무직,사무직,17750399,6,6,N,None,0,2001-04-01,350000,5006
153,N,2,40,0,99,Y,199612,전남,1.주부,주부,22452762,6,8,Y,8.기타,1,2016-02-01,392665,0
154,N,2,40,14027,20,Y,199810,강원,1.주부,주부,110700,6,6,Y,4.전문직,0,1998-12-01,42100,0
155,N,2,43,14166,30,Y,200211,경기,2.자영업,3차산업 종사자,43574820,6,6,Y,3.사무직,1,2012-06-01,540864,3620
156,N,1,46,7638,20,N,200212,전북,5.서비스,2차산업 종사자,37064921,6,6,N,None,0,2003-05-01,329500,4836
157,N,1,54,8208,99,N,200212,대구,4.전문직,공무원,54980259,1,99,Y,4.전문직,2,2015-09-01,544392,4877
158,N,2,47,15277,20,N,200212,대구,2.자영업,자영업,115052286,6,6,Y,2.자영업,2,2006-11-01,1085834,4981
159,N,2,52,7603,11,N,200301,경기,5.서비스,3차산업 종사자,11799054,6,6,Y,2.자영업,2,2003-05-01,100000,4002
160,N,2,46,4027,30,N,200302,부산,1.주부,주부,5796710,6,6,N,None,0,2014-02-01,29800,0
162,Y,2,62,7623,12,N,200302,서울,1.주부,주부,8859190,6,6,Y,2.자영업,0,2007-12-01,53530,3413
163,N,1,48,12916,20,N,200303,부산,6.제조업,운전직,26548407,6,6,Y,1.주부,2,2005-06-01,155700,4812
164,N,2,47,2476,11,N,200304,경남,1.주부,주부,55237237,8,8,Y,6.제조업,2,2007-12-01,771994,0
165,N,2,66,6666,30,N,200304,부산,5.서비스,의료직 종사자,44599570,6,6,Y,6.제조업,0,2004-09-01,277939,3413
166,N,2,54,19861,20,N,200305,충북,4.전문직,교사,105409406,6,6,Y,4.전문직,2,2011-12-01,507309,5210
167,N,1,66,18308,40,N,200305,서울,2.자영업,자영업,168846676,6,6,Y,5.서비스,2,2003-09-01,217200,3413
168,N,2,52,4609,12,N,200305,충북,1.주부,주부,0,7,8,N,None,0,2004-02-01,161200,0
169,N,1,69,19444,20,N,200305,광주,7.1차산업,1차산업 종사자,12372648,3,6,Y,1.주부,1,2008-07-01,248942,3413
206,N,1,85,11818,40,N,200306,전북,2.자영업,자영업,27594800,6,6,Y,1.주부,0,2000-08-01,316450,3413
207,N,2,83,9055,99,N,200306,경북,2.자영업,자영업,1700876,6,6,N,None,0,2003-06-01,28400,3413
208,N,2,82,1966,13,N,200306,전북,1.주부,주부,1659104,6,6,N,None,0,2003-05-01,13900,3413
210,N,2,81,18098,11,N,200303,경북,8.기타,기타,6095040,6,6,N,None,0,2015-07-01,50792,3413
213,N,2,79,15000,30,N,200306,경기,8.기타,기타,38706064,6,6,Y,8.기타,0,2003-05-01,111085,3413
216,N,2,77,11776,99,N,200306,부산,1.주부,주부,24858168,6,6,No,None,0,2003-04-01,13158,3413
218,N,2,77,3711,12,N,200306,인천,8.기타,기타,20741427,6,6,N,None,0,2003-05-01,324900,3413
219,N,1,76,4077,40,N,200306,충북,8.기타,기타,18544722,6,6,Y,1.주부,0,2003-05-01,50050,3413
220,N,2,76,2451,13,N,200306,경남,8.기타,기타,15098742,6,6,N,None,0,2003-05-01,102648,3413
221,N,2,76,10833,20,N,200306,경남,1.주부,주부,12251817,6,6,N,None,0,2001-09-01,109759,3413
222,N,2,76,31666,20,N,200306,경기,1.주부,주부,13657262,6,6,N,None,0,2003-05-01,88100,3413
224,N,2,76,19777,11,N,200306,경기,7.1차산업,1차산업 종사자,5532600,5,99,Y,7.1차산업,0,2001-03-01,333800,3413
227,N,1,75,22777,20,N,200306,인천,8.기타,기타,6906630,6,6,N,None,0,2003-06-01,57960,3413
228,N,2,75,12083,20,N,200306,경기,8.기타,기타,27800,8,8,N,None,0,1999-03-01,61550,3413
229,N,1,75,0,99,N,200306,서울,6.제조업,운전직,2413963,6,6,Y,1.주부,0,2003-05-01,20250,3413
231,N,1,75,17777,20,N,200306,경기,5.서비스,2차산업 종사자,11716083,6,6,N,None,0,2003-05-01,98100,3413
234,N,1,75,5237,11,N,200306,전북,7.1차산업,1차산업 종사자,2782353,6,6,Y,1.주부,0,2003-05-01,379650,3413
235,N,2,75,19958,30,N,200306,서울,2.자영업,자영업,70950316,6,6,Y,2.자영업,0,2007-08-01,1006802,3413
236,N,1,75,9027,30,N,200306,경기,2.자영업,자영업,28590633,7,7,N,None,0,2007-08-01,541372,3413
237,N,2,75,4225,13,N,200306,서울,8.기타,기타,380727549,6,6,Y,2.자영업,0,2006-08-01,1094378,3413
242,N,2,74,4179,13,N,200306,경기,8.기타,기타,32231742,6,6,N,None,0,2002-12-01,419474,3413
244,N,2,74,29027,20,N,200306,경기,1.주부,주부,7246366,6,6,N,None,0,2003-05-01,60700,3413
245,N,2,74,9041,11,N,200306,전북,1.주부,주부,11607092,6,6,Y,3.사무직,0,2006-11-01,57150,3413
246,N,2,74,3775,99,N,200306,강원,1.주부,주부,25392000,6,6,Y,3.사무직,0,1999-11-01,311600,3413
247,N,2,73,1884,11,N,200306,경북,8.기타,1차산업 종사자,2939900,6,6,Y,8.기타,0,2000-05-01,32800,3413
248,N,2,73,801,11,N,200306,전남,8.기타,기타,20431452,6,6,N,None,0,2015-10-01,48929,3413
249,N,2,73,8407,11,N,200306,부산,1.주부,주부,8555040,6,6,Y,5.서비스,0,2003-05-01,39000,3413
250,N,2,73,46685,20,N,200306,서울,8.기타,기타,9308180,6,6,Y,None,0,2000-07-01,58800,3413
251,N,1,72,13611,20,N,200306,경북,6.제조업,운전직,19289670,6,6,Y,None,0,2003-05-01,115750,3413
253,N,1,72,6944,20,N,200306,전남,7.1차산업,1차산업 종사자,23622461,6,6,Y,1.주부,0,2000-02-01,457183,3413
254,N,2,72,8264,11,N,200306,전북,1.주부,주부,3276000,6,6,N,None,0,2010-02-01,27300,3413
255,N,1,71,22465,11,N,200306,경기,7.1차산업,1차산업 종사자,73061476,6,6,Y,7.1차산업,0,2003-05-01,566360,3413
256,N,2,71,1772,12,N,200306,충남,1.주부,주부,8160840,6,6,Y,3.사무직,0,2003-05-01,48450,3413
257,Y,2,71,2220,12,N,200306,부산,8.기타,기타,22594317,6,6,N,None,0,2003-11-01,64650,3413
258,N,2,71,7109,11,N,200306,전북,1.주부,주부,29736086,6,6,Y,8.기타,0,2016-06-01,52695,3413
259,N,1,71,18317,30,N,200306,서울,8.기타,기타,129026626,6,6,Y,1.주부,0,2005-11-01,1000130,3413
260,N,2,71,50000,12,N,200306,경기,1.주부,주부,15402840,6,6,N,None,0,2003-02-01,479100,3413
263,N,2,71,1721,11,N,200306,전남,1.주부,주부,20121584,6,6,N,None,0,2002-04-01,322100,3413
265,N,2,71,10746,40,N,200306,대구,2.자영업,자영업,15614280,6,6,N,None,0,2003-05-01,128900,3413
266,N,2,71,6084,11,N,200306,전북,1.주부,주부,38655500,6,6,Y,3.사무직,0,2005-03-01,267850,3413
268,Y,2,70,21666,20,N,200306,경기,2.자영업,자영업,24686700,6,6,N,None,0,2004-06-01,281699,3413
270,N,1,70,35921,11,N,200306,울산,8.기타,기타,5686560,6,6,Y,1.주부,1,2002-10-01,81800,3413
272,N,2,70,8778,11,N,200306,경남,8.기타,기타,13510189,6,99,Y,7.1차산업,0,2015-06-01,70100,3413
275,N,2,69,15138,30,N,200306,서울,1.주부,주부,332100,6,6,N,None,0,2000-07-01,55350,3413
276,N,2,69,16984,20,N,200306,대전,1.주부,주부,3561100,6,6,Y,5.서비스,0,2005-09-01,29800,3413
277,N,2,69,9967,30,N,200306,대구,1.주부,주부,40103012,6,6,N,None,0,2001-01-01,400000,3413
278,N,2,69,0,99,N,200306,전남,8.기타,기타,23411496,6,6,Y,None,1,2008-04-01,166667,3413
279,N,2,69,55555,20,N,200306,서울,8.기타,기타,214730239,6,6,Y,2.자영업,0,2003-07-01,462709,3413
280,N,1,69,6821,99,N,200306,대전,5.서비스,2차산업 종사자,7872480,6,6,Y,1.주부,0,2003-05-01,67200,3413
282,Y,2,69,21388,20,N,200306,경남,1.주부,주부,1192000,6,6,N,None,0,2006-02-01,193500,3413
283,N,2,69,25138,20,N,200306,서울,1.주부,주부,13812102,6,6,N,None,0,2016-06-01,41370,3413
284,N,1,69,4861,30,N,200306,인천,6.제조업,운전직,16822292,6,6,Y,1.주부,0,2005-01-01,189094,3413
286,N,2,68,28134,11,N,200306,부산,1.주부,주부,4899183,6,6,N,None,0,2003-05-01,44850,3413
288,N,2,68,18333,20,N,200306,강원,1.주부,주부,22688412,6,6,Y,8.기타,0,2007-10-01,200740,3413
291,N,2,68,6167,99,N,200306,충남,8.기타,기타,90592742,4,99,Y,None,1,2007-08-01,535974,3413
292,N,1,68,0,99,N,200306,경남,2.자영업,자영업,20222545,6,6,N,None,0,2005-03-01,120460,3413
293,N,2,68,15555,20,N,200306,경기,1.주부,주부,15362300,6,6,N,None,0,2029-11-01,45775,3413
294,N,1,68,14444,30,N,200306,부산,6.제조업,3차산업 종사자,37887208,6,6,Y,5.서비스,0,2003-05-01,1175510,3413
295,N,1,68,17083,20,N,200306,인천,8.기타,단순 노무직,12404975,6,6,Y,3.사무직,0,2016-06-01,38915,3413
296,Y,2,68,4007,12,N,200306,경남,1.주부,주부,0,6,6,Y,8.기타,0,2005-11-01,170223,3413
298,N,1,67,2398,11,N,200306,경남,7.1차산업,1차산업 종사자,22813552,6,6,Y,7.1차산업,0,2006-04-01,187630,3413
300,N,1,67,32222,20,N,200306,경기,5.서비스,2차산업 종사자,596200,6,6,N,None,0,1999-07-01,54200,3413
302,N,1,67,0,99,N,200306,전북,3.사무직,3차산업 종사자,80024624,6,6,Y,2.자영업,0,1999-05-01,1749500,3413
303,N,1,67,6671,13,N,200306,대전,2.자영업,자영업,7520800,6,6,Y,2.자영업,1,2016-06-01,222788,3413
304,N,2,67,2186,13,N,200306,경남,2.자영업,자영업,38094810,6,6,N,None,0,2016-06-01,349750,3413
305,N,2,67,13410,13,N,200306,서울,5.서비스,2차산업 종사자,16520515,6,6,N,None,0,2010-07-01,383400,3413
306,N,2,67,81527,20,N,200306,서울,3.사무직,사무직,6130904,6,6,Y,3.사무직,0,2003-05-01,133600,3413
308,N,2,67,9583,30,N,200306,경북,1.주부,주부,36768336,6,6,N,None,0,2005-11-01,244452,3413
310,N,2,67,6929,40,N,200306,경남,1.주부,주부,18523243,6,6,Y,3.사무직,0,2004-03-01,53050,3413
311,N,1,66,21936,40,N,200306,울산,4.전문직,전문직,18802408,6,6,Y,1.주부,1,2003-05-01,143800,3413
